Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
BartSimpson_R1	0.15060240963855423	1.0542168674698795
BartSimpson_R1_filtered	0.15060240963855423	1.0542168674698795
BartSimpson_R2	0.15060240963855423	1.0542168674698795
BartSimpson_R2_filtered	0.15060240963855423	1.0542168674698795
LisaSimpson_R1	0.15151515151515152	0.4545454545454546
LisaSimpson_R1_filtered	0.15151515151515152	0.4545454545454546
LisaSimpson_R2	0.15151515151515152	0.6060606060606061
LisaSimpson_R2_filtered	0.15151515151515152	0.6060606060606061
MaggieSimpson_R1	0.15060240963855423	0.3012048192771085
MaggieSimpson_R1_filtered	0.15060240963855423	0.3012048192771085
MaggieSimpson_R2	0.15060240963855423	0.6024096385542169
MaggieSimpson_R2_filtered	0.15060240963855423	0.6024096385542169
MargeSimpson_R1	0.15060240963855423	0.9036144578313253
MargeSimpson_R1_filtered	0.15060240963855423	0.9036144578313253
MargeSimpson_R2	0.2958579881656805	1.0355029585798818
MargeSimpson_R2_filtered	0.30120481927710846	1.0542168674698797
PattyBouvier_R1	0.15151515151515152	0.9090909090909091
PattyBouvier_R1_filtered	0.15151515151515152	0.9090909090909091
PattyBouvier_R2	0.1488095238095238	0.8928571428571429
PattyBouvier_R2_filtered	0.15151515151515152	0.7575757575757577
SelmaBouvier_R1	0.15060240963855423	0.3012048192771085
SelmaBouvier_R1_filtered	0.15060240963855423	0.3012048192771085
SelmaBouvier_R2	0.14792899408284024	1.0355029585798816
SelmaBouvier_R2_filtered	0.15060240963855423	1.0542168674698795
