Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
BartSimpson_R1	BartSimpson_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	200.5 kbp	0.0	151.0	46.0	99.3975903614458	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
BartSimpson_R1_filtered	BartSimpson_R1_filtered.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	196.1 kbp	0.0	43-151	46.0	99.3975903614458	147.67093373493975	151	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
BartSimpson_R2	BartSimpson_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	200.5 kbp	0.0	151.0	46.0	99.3975903614458	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
BartSimpson_R2_filtered	BartSimpson_R2_filtered.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	195.9 kbp	0.0	43-151	46.0	99.3975903614458	147.50527108433735	151	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
LisaSimpson_R1	LisaSimpson_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	199.3 kbp	0.0	151.0	46.0	99.69696969696969	151.0	151	pass	pass	pass	pass	fail	pass	pass	pass	warn	pass
LisaSimpson_R1_filtered	LisaSimpson_R1_filtered.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	194.1 kbp	0.0	43-151	46.0	99.69696969696969	147.0537878787879	151	pass	pass	pass	pass	fail	pass	warn	pass	warn	pass
LisaSimpson_R2	LisaSimpson_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	199.3 kbp	0.0	151.0	46.0	99.62121212121212	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
LisaSimpson_R2_filtered	LisaSimpson_R2_filtered.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1320.0	194.1 kbp	0.0	43-151	46.0	99.62121212121212	147.04924242424244	151	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
MaggieSimpson_R1	MaggieSimpson_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	200.5 kbp	0.0	151.0	45.0	99.77409638554217	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
MaggieSimpson_R1_filtered	MaggieSimpson_R1_filtered.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1328.0	195.8 kbp	0.0	42-151	45.0	99.77409638554217	147.44427710843374	151	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
