UniqueCount	AmbigCount
0	26
0	18
0	26
0	23
0	25
0	29
0	26
0	27
0	28
0	26
0	29
0	28
0	25
0	22
0	28
0	25
0	27
0	24
0	25
0	22
0	24
0	28
0	25
0	27
0	24
0	25
0	23
0	17
0	18
0	20
0	18
0	25
0	22
0	24
0	25
0	26
0	25
0	28
0	27
0	24
0	21
0	24
0	26
0	23
0	24
0	21
0	23
0	27
0	24
0	26
0	23
0	24
0	16
0	17
0	17
2	24
6	24
32	0
0	21
0	22
0	23
0	24
0	21
0	22
0	23
0	24
0	25
0	26
0	9
0	22
0	24
0	21
0	20
0	19
0	19
0	24
0	26
0	22
0	23
0	24
0	21
0	21
0	22
0	23
0	25
0	9
0	21
0	26
0	24
1	27
0	27
0	26
0	26
0	26
0	26
1	27
0	27
0	26
0	26
0	26
0	26
0	26
0	26
0	26
0	30
0	30
0	32
0	30
0	30
0	32
0	32
0	32
0	32
0	30
0	30
0	30
0	30
0	24
0	26
0	26
0	24
0	24
0	24
0	24
0	32
0	32
0	32
0	31
0	31
0	32
0	32
0	32
0	31
0	31
0	5
0	30
0	30
0	30
0	30
0	30
0	30
0	30
0	5
0	29
1	31
0	30
0	29
0	53
0	53
0	53
0	53
0	53
0	53
0	53
0	61
0	61
0	61
0	61
0	61
0	61
0	61
0	61
0	63
0	61
0	53
0	53
0	49
0	60
0	62
0	52
0	54
0	54
0	51
0	22
0	20
0	54
0	54
0	54
0	54
0	54
0	52
0	52
0	55
0	55
0	54
0	57
0	54
0	56
0	53
0	54
0	21
0	14
0	55
0	56
0	55
0	55
0	56
0	53
0	53
0	55
0	57
0	50
0	56
0	56
0	56
0	56
0	56
0	53
0	55
0	55
0	56
0	49
0	55
0	55
0	55
0	35
0	17
0	17
0	19
0	21
0	21
0	20
0	20
0	17
0	19
0	19
0	26
0	3
0	32
0	32
0	32
0	31
0	30
0	27
0	26
0	26
0	32
0	31
0	30
0	7
0	7
0	66
0	29
0	66
0	29
0	7
0	7
0	7
0	7
0	7
0	30
0	7
0	7
0	60
0	25
0	60
0	25
0	7
0	7
0	7
0	7
0	47
0	48
0	50
0	46
0	45
0	35
0	45
0	17
0	12
0	14
0	12
0	40
0	46
0	46
0	48
0	44
0	33
0	16
0	12
0	14
0	12
0	44
0	38
11	76
4	48
0	44
0	46
0	42
0	44
0	28
0	52
0	52
0	54
0	53
0	55
0	54
0	56
0	54
0	54
0	56
0	55
0	55
0	57
0	54
0	42
0	44
0	46
0	26
0	28
0	26
0	28
0	28
0	29
0	26
0	28
0	29
0	18
0	42
0	16
0	42
0	28
0	52
0	52
0	54
0	53
0	55
0	54
0	56
0	55
0	57
0	26
0	28
0	26
0	28
0	28
0	29
0	26
0	28
0	29
0	42
0	43
0	56
0	53
0	56
0	56
0	56
0	55
0	56
0	53
0	56
0	56
0	53
0	56
0	56
0	53
0	56
0	56
0	56
0	56
0	55
0	55
0	55
0	55
0	56
0	55
0	55
0	55
0	53
0	56
0	55
0	55
0	53
0	52
0	51
0	43
0	43
0	42
0	32
0	55
0	56
0	56
0	53
0	52
0	45
0	56
0	53
0	56
0	56
0	56
0	55
0	56
0	53
0	56
0	56
0	53
0	56
0	56
0	53
0	56
0	56
0	56
0	55
0	55
0	55
0	55
0	56
0	55
0	55
0	55
0	53
0	56
0	55
0	55
0	53
0	52
0	56
0	56
0	53
0	52
0	45
0	87
0	87
0	90
0	84
0	11
0	6
0	6
0	3
0	81
0	82
0	78
0	11
0	6
0	6
0	3
0	56
0	58
0	54
0	6
0	6
1	13
0	6
0	6
0	6
31	54
0	46
0	8
0	48
0	52
0	51
0	47
0	44
0	46
0	43
0	8
0	50
0	52
0	51
0	51
0	55
0	54
0	55
0	54
0	56
0	55
0	56
0	55
0	46
0	21
0	23
0	23
0	21
0	23
0	57
0	55
0	55
0	54
0	55
0	55
0	51
0	54
0	55
0	51
0	54
0	55
0	55
0	51
0	55
0	54
0	54
0	55
0	52
0	55
0	56
0	23
0	23
0	21
0	35
0	35
0	52
0	50
0	50
0	48
0	46
0	48
0	46
1	44
0	40
0	39
0	36
0	35
0	35
0	29
0	32
0	32
0	45
0	47
0	35
0	34
0	47
0	45
0	34
0	41
0	32
0	32
0	34
0	34
0	32
0	32
0	32
0	34
0	34
0	32
0	32
0	14
0	14
0	12
0	21
0	23
0	23
0	21
0	23
0	23
0	21
0	21
0	21
0	19
0	19
0	19
0	12
0	32
0	32
0	30
0	19
0	10
0	19
0	30
0	30
0	19
0	19
0	19
0	32
0	32
0	34
0	34
0	32
0	32
0	32
0	34
0	32
0	14
0	18
1	61
0	58
1	51
0	37
0	38
0	45
0	48
0	48
0	40
0	49
0	45
0	42
0	42
0	41
0	41
0	59
0	57
0	57
0	8
0	54
0	52
0	8
0	58
0	58
0	58
0	58
0	43
0	43
0	41
0	33
0	33
0	41
0	31
0	44
0	34
0	29
0	33
0	43
0	43
0	41
0	31
0	30
0	52
0	52
0	54
0	53
0	55
0	51
0	53
0	52
0	54
0	54
0	51
0	53
0	54
0	50
0	52
0	53
0	52
0	53
0	54
0	51
0	53
0	54
0	53
1	35
0	32
0	53
0	54
0	34
0	27
0	27
0	28
0	15
0	81
0	80
0	54
0	58
0	56
0	54
0	56
0	54
0	102
0	105
0	104
0	106
0	91
0	82
0	79
0	56
0	50
0	71
0	71
0	66
0	105
0	91
0	82
0	79
0	101
0	56
0	69
0	69
0	64
0	29
0	30
0	29
