Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
BartSimpson_R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.015060240963855423)	(40, 0.07530120481927711)	(45, 0.07530120481927711)	(50, 0.07530120481927711)	(55, 0.07530120481927711)	(60, 0.15060240963855423)	(65, 0.286144578313253)	(70, 0.30120481927710846)	(75, 0.30120481927710846)	(80, 0.30120481927710846)	(85, 0.3162650602409639)	(90, 0.37650602409638556)	(95, 0.37650602409638556)	(100, 0.37650602409638556)	(105, 0.37650602409638556)	(110, 0.45180722891566266)	(115, 0.5120481927710843)	(120, 0.5271084337349398)	(125, 0.5271084337349398)	(130, 0.5271084337349398)	(135, 0.5873493975903614)	(140, 0.6024096385542169)
BartSimpson_R1_filtered - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.015060240963855423)	(40, 0.07530120481927711)	(45, 0.07530120481927711)	(50, 0.07530120481927711)	(55, 0.07530120481927711)	(60, 0.15060240963855423)	(65, 0.286144578313253)	(70, 0.30120481927710846)	(75, 0.30120481927710846)	(80, 0.30120481927710846)	(85, 0.3162650602409639)	(90, 0.37650602409638556)	(95, 0.37650602409638556)	(100, 0.37650602409638556)	(105, 0.37650602409638556)	(110, 0.45180722891566266)	(115, 0.5120481927710843)	(120, 0.5271084337349398)	(125, 0.5271084337349398)	(130, 0.5271084337349398)	(135, 0.5873493975903614)	(140, 0.6024096385542169)
BartSimpson_R2 - polya	(1, 0.15060240963855423)	(2, 0.15060240963855423)	(3, 0.15060240963855423)	(4, 0.15060240963855423)	(5, 0.15060240963855423)	(6, 0.15060240963855423)	(7, 0.15060240963855423)	(8, 0.15060240963855423)	(9, 0.15060240963855423)	(10, 0.15060240963855423)	(15, 0.15060240963855423)	(20, 0.15060240963855423)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.16566265060240964)	(40, 0.22590361445783133)	(45, 0.22590361445783133)	(50, 0.30120481927710846)	(55, 0.30120481927710846)	(60, 0.30120481927710846)	(65, 0.30120481927710846)	(70, 0.30120481927710846)	(75, 0.30120481927710846)	(80, 0.30120481927710846)	(85, 0.30120481927710846)	(90, 0.3313253012048193)	(95, 0.37650602409638556)	(100, 0.37650602409638556)	(105, 0.37650602409638556)	(110, 0.37650602409638556)	(115, 0.37650602409638556)	(120, 0.42168674698795183)	(125, 0.45180722891566266)	(130, 0.45180722891566266)	(135, 0.48192771084337344)	(140, 0.5271084337349398)
BartSimpson_R2_filtered - polya	(1, 0.15060240963855423)	(2, 0.15060240963855423)	(3, 0.15060240963855423)	(4, 0.15060240963855423)	(5, 0.15060240963855423)	(6, 0.15060240963855423)	(7, 0.15060240963855423)	(8, 0.15060240963855423)	(9, 0.15060240963855423)	(10, 0.15060240963855423)	(15, 0.15060240963855423)	(20, 0.15060240963855423)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.16566265060240964)	(40, 0.22590361445783133)	(45, 0.22590361445783133)	(50, 0.30120481927710846)	(55, 0.30120481927710846)	(60, 0.30120481927710846)	(65, 0.30120481927710846)	(70, 0.30120481927710846)	(75, 0.30120481927710846)	(80, 0.30120481927710846)	(85, 0.30120481927710846)	(90, 0.3313253012048193)	(95, 0.37650602409638556)	(100, 0.37650602409638556)	(105, 0.37650602409638556)	(110, 0.37650602409638556)	(115, 0.37650602409638556)	(120, 0.42168674698795183)	(125, 0.45180722891566266)	(130, 0.45180722891566266)	(135, 0.48192771084337344)	(140, 0.5271084337349398)
LisaSimpson_R1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.07575757575757576)	(35, 0.07575757575757576)	(40, 0.09090909090909091)	(45, 0.19696969696969696)	(50, 0.30303030303030304)	(55, 0.30303030303030304)	(60, 0.30303030303030304)	(65, 0.3787878787878788)	(70, 0.3787878787878788)	(75, 0.40909090909090906)	(80, 0.4545454545454545)	(85, 0.4545454545454545)	(90, 0.4545454545454545)	(95, 0.4545454545454545)	(100, 0.4545454545454545)	(105, 0.4545454545454545)	(110, 0.4545454545454545)	(115, 0.4545454545454545)	(120, 0.4545454545454545)	(125, 0.5606060606060606)	(130, 0.6060606060606061)	(135, 0.6666666666666666)	(140, 0.7575757575757576)
LisaSimpson_R1_filtered - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.07575757575757576)	(35, 0.07575757575757576)	(40, 0.09090909090909091)	(45, 0.19696969696969696)	(50, 0.30303030303030304)	(55, 0.30303030303030304)	(60, 0.30303030303030304)	(65, 0.3787878787878788)	(70, 0.3787878787878788)	(75, 0.40909090909090906)	(80, 0.4545454545454545)	(85, 0.4545454545454545)	(90, 0.4545454545454545)	(95, 0.4545454545454545)	(100, 0.4545454545454545)	(105, 0.4545454545454545)	(110, 0.4545454545454545)	(115, 0.4545454545454545)	(120, 0.4545454545454545)	(125, 0.5303030303030303)	(130, 0.5303030303030303)	(135, 0.5303030303030303)	(140, 0.5303030303030303)
LisaSimpson_R2 - polya	(1, 0.22727272727272727)	(2, 0.22727272727272727)	(3, 0.22727272727272727)	(4, 0.22727272727272727)	(5, 0.22727272727272727)	(6, 0.22727272727272727)	(7, 0.22727272727272727)	(8, 0.22727272727272727)	(9, 0.22727272727272727)	(10, 0.22727272727272724)	(15, 0.24242424242424243)	(20, 0.30303030303030304)	(25, 0.30303030303030304)	(30, 0.30303030303030304)	(35, 0.30303030303030304)	(40, 0.30303030303030304)	(45, 0.30303030303030304)	(50, 0.30303030303030304)	(55, 0.30303030303030304)	(60, 0.30303030303030304)	(65, 0.30303030303030304)	(70, 0.30303030303030304)	(75, 0.30303030303030304)	(80, 0.30303030303030304)	(85, 0.3181818181818182)	(90, 0.3787878787878788)	(95, 0.40909090909090906)	(100, 0.4545454545454545)	(105, 0.4545454545454545)	(110, 0.4545454545454545)	(115, 0.4696969696969697)	(120, 0.5303030303030303)	(125, 0.5303030303030303)	(130, 0.5303030303030303)	(135, 0.5303030303030303)	(140, 0.5303030303030303)
LisaSimpson_R2_filtered - polya	(1, 0.22727272727272727)	(2, 0.22727272727272727)	(3, 0.22727272727272727)	(4, 0.22727272727272727)	(5, 0.22727272727272727)	(6, 0.22727272727272727)	(7, 0.22727272727272727)	(8, 0.22727272727272727)	(9, 0.22727272727272727)	(10, 0.22727272727272724)	(15, 0.24242424242424243)	(20, 0.30303030303030304)	(25, 0.30303030303030304)	(30, 0.30303030303030304)	(35, 0.30303030303030304)	(40, 0.30303030303030304)	(45, 0.30303030303030304)	(50, 0.30303030303030304)	(55, 0.30303030303030304)	(60, 0.30303030303030304)	(65, 0.30303030303030304)	(70, 0.30303030303030304)	(75, 0.30303030303030304)	(80, 0.30303030303030304)	(85, 0.3181818181818182)	(90, 0.3787878787878788)	(95, 0.40909090909090906)	(100, 0.4545454545454545)	(105, 0.4545454545454545)	(110, 0.4545454545454545)	(115, 0.4696969696969697)	(120, 0.5303030303030303)	(125, 0.5303030303030303)	(130, 0.5303030303030303)	(135, 0.5303030303030303)	(140, 0.5303030303030303)
MaggieSimpson_R1 - polya	(1, 0.07530120481927711)	(2, 0.07530120481927711)	(3, 0.07530120481927711)	(4, 0.07530120481927711)	(5, 0.07530120481927711)	(6, 0.07530120481927711)	(7, 0.07530120481927711)	(8, 0.07530120481927711)	(9, 0.07530120481927711)	(10, 0.07530120481927711)	(15, 0.12048192771084339)	(20, 0.15060240963855423)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.24096385542168677)	(40, 0.30120481927710846)	(45, 0.30120481927710846)	(50, 0.30120481927710846)	(55, 0.30120481927710846)	(60, 0.30120481927710846)	(65, 0.3313253012048193)	(70, 0.37650602409638556)	(75, 0.37650602409638556)	(80, 0.37650602409638556)	(85, 0.37650602409638556)	(90, 0.37650602409638556)	(95, 0.37650602409638556)	(100, 0.4066265060240964)	(105, 0.48192771084337344)	(110, 0.5271084337349398)	(115, 0.572289156626506)	(120, 0.677710843373494)	(125, 0.783132530120482)	(130, 0.9036144578313253)	(135, 0.9036144578313253)	(140, 0.9036144578313253)
MaggieSimpson_R1_filtered - polya	(1, 0.07530120481927711)	(2, 0.07530120481927711)	(3, 0.07530120481927711)	(4, 0.07530120481927711)	(5, 0.07530120481927711)	(6, 0.07530120481927711)	(7, 0.07530120481927711)	(8, 0.07530120481927711)	(9, 0.07530120481927711)	(10, 0.07530120481927711)	(15, 0.12048192771084339)	(20, 0.15060240963855423)	(25, 0.15060240963855423)	(30, 0.15060240963855423)	(35, 0.24096385542168677)	(40, 0.30120481927710846)	(45, 0.30120481927710846)	(50, 0.30120481927710846)	(55, 0.30120481927710846)	(60, 0.30120481927710846)	(65, 0.3313253012048193)	(70, 0.37650602409638556)	(75, 0.37650602409638556)	(80, 0.37650602409638556)	(85, 0.37650602409638556)	(90, 0.37650602409638556)	(95, 0.37650602409638556)	(100, 0.4066265060240964)	(105, 0.48192771084337344)	(110, 0.5271084337349398)	(115, 0.572289156626506)	(120, 0.677710843373494)	(125, 0.7530120481927711)	(130, 0.8283132530120481)	(135, 0.8283132530120481)	(140, 0.8283132530120482)
