Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45
BartSimpson_R1	(151, 1328.0)																																													
BartSimpson_R1_filtered	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.0)	(95, 5.0)	(100, 10.0)	(105, 8.0)	(110, 11.0)	(115, 2.0)	(120, 27.0)	(125, 18.0)	(130, 20.0)	(135, 23.0)	(140, 18.0)	(145, 30.0)	(150, 1149.0)																							
BartSimpson_R2	(151, 1328.0)																																													
BartSimpson_R2_filtered	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.0)	(95, 5.0)	(100, 10.0)	(105, 8.0)	(110, 11.0)	(115, 2.0)	(120, 31.0)	(125, 20.0)	(130, 20.0)	(135, 27.0)	(140, 18.0)	(145, 30.0)	(150, 1139.0)																							
LisaSimpson_R1	(151, 1320.0)																																													
LisaSimpson_R1_filtered	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.0)	(65, 0.0)	(70, 0.0)	(75, 1.0)	(80, 3.0)	(85, 0.0)	(90, 2.0)	(95, 4.0)	(100, 14.0)	(105, 3.0)	(110, 12.0)	(115, 12.0)	(120, 15.0)	(125, 29.0)	(130, 29.0)	(135, 29.0)	(140, 15.0)	(145, 53.0)	(150, 1094.0)																							
LisaSimpson_R2	(151, 1320.0)																																													
LisaSimpson_R2_filtered	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.0)	(65, 0.0)	(70, 0.0)	(75, 1.0)	(80, 3.0)	(85, 0.0)	(90, 2.0)	(95, 4.0)	(100, 14.0)	(105, 3.0)	(110, 12.0)	(115, 12.0)	(120, 15.0)	(125, 29.0)	(130, 33.0)	(135, 24.0)	(140, 15.0)	(145, 53.0)	(150, 1095.0)																							
MaggieSimpson_R1	(151, 1328.0)																																													
MaggieSimpson_R1_filtered	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 6.0)	(90, 2.0)	(95, 1.0)	(100, 10.0)	(105, 4.0)	(110, 7.0)	(115, 20.0)	(120, 23.0)	(125, 22.0)	(130, 26.0)	(135, 30.0)	(140, 25.0)	(145, 26.0)	(150, 1125.0)																							
MaggieSimpson_R2	(151, 1328.0)																																													
MaggieSimpson_R2_filtered	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 6.0)	(90, 2.0)	(95, 1.0)	(100, 10.0)	(105, 4.0)	(110, 8.0)	(115, 20.0)	(120, 22.0)	(125, 21.0)	(130, 26.0)	(135, 25.0)	(140, 25.0)	(145, 26.0)	(150, 1131.0)																							
MargeSimpson_R1	(151, 1328.0)																																													
MargeSimpson_R1_filtered	(60, 1.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 1.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 8.0)	(88, 0.0)	(90, 0.0)	(92, 3.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 1.0)	(102, 4.0)	(104, 3.0)	(106, 2.0)	(108, 1.0)	(110, 0.0)	(112, 0.0)	(114, 4.0)	(116, 18.0)	(118, 11.0)	(120, 8.0)	(122, 2.0)	(124, 6.0)	(126, 5.0)	(128, 11.0)	(130, 5.0)	(132, 2.0)	(134, 4.0)	(136, 10.0)	(138, 2.0)	(140, 9.0)	(142, 4.0)	(144, 0.0)	(146, 9.0)	(148, 0.0)	(150, 1194.0)
MargeSimpson_R2	(151, 1352.0)																																													
MargeSimpson_R2_filtered	(60, 1.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 1.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 8.0)	(88, 0.0)	(90, 0.0)	(92, 3.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 1.0)	(102, 4.0)	(104, 3.0)	(106, 2.0)	(108, 1.0)	(110, 2.0)	(112, 0.0)	(114, 4.0)	(116, 18.0)	(118, 11.0)	(120, 8.0)	(122, 2.0)	(124, 6.0)	(126, 5.0)	(128, 11.0)	(130, 5.0)	(132, 1.0)	(134, 4.0)	(136, 10.0)	(138, 7.0)	(140, 9.0)	(142, 4.0)	(144, 0.0)	(146, 9.0)	(148, 0.0)	(150, 1188.0)
PattyBouvier_R1	(151, 1320.0)																																													
PattyBouvier_R1_filtered	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.0)	(65, 0.0)	(70, 8.0)	(75, 1.0)	(80, 0.0)	(85, 0.0)	(90, 3.0)	(95, 4.0)	(100, 3.0)	(105, 19.0)	(110, 8.0)	(115, 7.0)	(120, 17.0)	(125, 8.0)	(130, 20.0)	(135, 20.0)	(140, 42.0)	(145, 13.0)	(150, 1142.0)																							
PattyBouvier_R2	(151, 1344.0)																																													
PattyBouvier_R2_filtered	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 4.0)	(65, 0.0)	(70, 8.0)	(75, 1.0)	(80, 0.0)	(85, 0.0)	(90, 3.0)	(95, 3.0)	(100, 6.0)	(105, 19.0)	(110, 8.0)	(115, 7.0)	(120, 14.0)	(125, 8.0)	(130, 20.0)	(135, 19.0)	(140, 42.0)	(145, 13.0)	(150, 1144.0)																							
SelmaBouvier_R1	(151, 1328.0)																																													
SelmaBouvier_R1_filtered	(74, 3.0)	(76, 0.0)	(78, 0.0)	(80, 1.0)	(82, 0.0)	(84, 0.0)	(86, 3.0)	(88, 0.0)	(90, 0.0)	(92, 8.0)	(94, 0.0)	(96, 5.0)	(98, 0.0)	(100, 8.0)	(102, 1.0)	(104, 0.0)	(106, 1.0)	(108, 0.0)	(110, 0.0)	(112, 8.0)	(114, 0.0)	(116, 9.0)	(118, 0.0)	(120, 8.0)	(122, 15.0)	(124, 11.0)	(126, 8.0)	(128, 10.0)	(130, 2.0)	(132, 5.0)	(134, 10.0)	(136, 8.0)	(138, 0.0)	(140, 0.0)	(142, 7.0)	(144, 2.0)	(146, 25.0)	(148, 7.0)	(150, 1163.0)							
SelmaBouvier_R2	(151, 1352.0)																																													
SelmaBouvier_R2_filtered	(74, 3.0)	(76, 0.0)	(78, 0.0)	(80, 1.0)	(82, 0.0)	(84, 0.0)	(86, 3.0)	(88, 0.0)	(90, 0.0)	(92, 8.0)	(94, 0.0)	(96, 5.0)	(98, 0.0)	(100, 8.0)	(102, 1.0)	(104, 0.0)	(106, 1.0)	(108, 0.0)	(110, 0.0)	(112, 8.0)	(114, 0.0)	(116, 9.0)	(118, 0.0)	(120, 8.0)	(122, 15.0)	(124, 11.0)	(126, 8.0)	(128, 10.0)	(130, 2.0)	(132, 5.0)	(134, 10.0)	(136, 8.0)	(138, 5.0)	(140, 0.0)	(142, 7.0)	(144, 2.0)	(146, 25.0)	(148, 7.0)	(150, 1158.0)							
