Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
BartSimpson	0.0	94.3001	0.369811	0.002656	46.263	100.0	14.457831325301203	151.0	151.0						
BartSimpson_R1										0.6024096385542066	46.0	151.0	151	0.0	0.001328
BartSimpson_R1_filtered										0.6024096385542066	46.0	147.67093373493975	151	0.0	0.001328
BartSimpson_R2										0.6024096385542066	46.0	151.0	151	0.0	0.001328
BartSimpson_R2_filtered										0.6024096385542066	46.0	147.50527108433735	151	0.0	0.001328
LisaSimpson	0.0	93.86330000000001	0.364444	0.00264	46.260200000000005	100.0	17.424242424242426	151.0	151.0						
LisaSimpson_R1										0.30303030303031164	46.0	151.0	151	10.0	0.00132
LisaSimpson_R1_filtered										0.30303030303031164	46.0	147.0537878787879	151	10.0	0.00132
LisaSimpson_R2										0.37878787878787534	46.0	151.0	151	0.0	0.00132
LisaSimpson_R2_filtered										0.37878787878787534	46.0	147.04924242424244	151	0.0	0.00132
MaggieSimpson	0.0	94.147	0.3689	0.002656	45.9516	100.0	14.984939759036145	151.0	151.0						
MaggieSimpson_R1										0.22590361445783458	45.0	151.0	151	0.0	0.001328
MaggieSimpson_R1_filtered										0.22590361445783458	45.0	147.44427710843374	151	0.0	0.001328
MaggieSimpson_R2										0.3765060240963862	46.0	151.0	151	10.0	0.001328
MaggieSimpson_R2_filtered										0.3765060240963862	46.0	147.50753012048193	151	10.0	0.001328
MargeSimpson	0.0	94.0907	0.36994099999999996	0.002656	46.1815	100.0	10.316265060240964	151.0	151.0						
MargeSimpson_R1										0.5271084337349379	46.0	151.0	151	10.0	0.001328
MargeSimpson_R1_filtered										0.5271084337349379	46.0	147.63102409638554	150	10.0	0.001328
MargeSimpson_R2										0.7396449704142043	46.0	151.0	151	0.0	0.001352
MargeSimpson_R2_filtered										0.7530120481927725	46.0	147.539156626506	150	0.0	0.001328
PattyBouvier	0.07575760000000001	94.16879999999999	0.366309	0.00264	46.429700000000004	100.0	13.863636363636363	151.0	151.0						
PattyBouvier_R1										0.5303030303030312	46.0	151.0	151	0.0	0.00132
PattyBouvier_R1_filtered										0.5303030303030312	46.0	147.3090909090909	151	0.0	0.00132
PattyBouvier_R2										0.5208333333333428	46.0	151.0	151	10.0	0.001344
PattyBouvier_R2_filtered										0.45454545454545325	46.0	147.3151515151515	151	10.0	0.00132
SelmaBouvier	0.0	94.2909	0.36988899999999997	0.002656	46.0606	100.0	12.575301204819278	151.0	151.0						
SelmaBouvier_R1										0.22590361445783458	45.0	151.0	151	10.0	0.001328
SelmaBouvier_R1_filtered										0.22590361445783458	45.0	147.28614457831324	150	10.0	0.001328
SelmaBouvier_R2										0.5917159763313578	46.0	151.0	151	10.0	0.001352
SelmaBouvier_R2_filtered										0.6024096385542066	46.0	147.24096385542168	150	10.0	0.001328
