Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
BartSimpson_R1	(1, 36.34939759036145)	(2, 36.28313253012048)	(3, 36.19277108433735)	(4, 36.17921686746988)	(5, 36.454819277108435)	(6, 36.506024096385545)	(7, 36.498493975903614)	(8, 36.30722891566265)	(9, 36.49548192771084)	(10, 36.42801204819277)	(15, 36.380722891566265)	(20, 36.32078313253012)	(25, 36.482530120481925)	(30, 36.43795180722891)	(35, 36.42409638554217)	(40, 36.064006024096386)	(45, 36.10361445783133)	(50, 36.39518072289157)	(55, 36.274698795180726)	(60, 36.14578313253012)	(65, 36.15512048192771)	(70, 36.2222891566265)	(75, 36.08780120481928)	(80, 36.18298192771085)	(85, 35.99066265060241)	(90, 36.29728915662651)	(95, 36.111746987951804)	(100, 36.0921686746988)	(105, 36.15963855421687)	(110, 36.08343373493976)	(115, 35.94819277108434)	(120, 35.91596385542169)	(125, 35.908734939759036)	(130, 36.13012048192771)	(135, 36.138253012048196)	(140, 35.873192771084334)	(145, 36.130421686746985)	(150, 36.08960843373494)
BartSimpson_R1_filtered	(1, 36.34939759036145)	(2, 36.28313253012048)	(3, 36.19277108433735)	(4, 36.17921686746988)	(5, 36.454819277108435)	(6, 36.506024096385545)	(7, 36.498493975903614)	(8, 36.30722891566265)	(9, 36.49548192771084)	(10, 36.42801204819277)	(15, 36.380722891566265)	(20, 36.32078313253012)	(25, 36.482530120481925)	(30, 36.43795180722891)	(35, 36.42409638554217)	(40, 36.063873920701646)	(45, 36.10474755086661)	(50, 36.394724943481535)	(55, 36.279879427279575)	(60, 36.14627628668078)	(65, 36.15128593040847)	(70, 36.22057488653555)	(75, 36.090922844175495)	(80, 36.18108925869894)	(85, 35.98608169440242)	(90, 36.29409984871407)	(95, 36.10775316101536)	(100, 36.09885775071474)	(105, 36.15537724175272)	(110, 36.08440423627494)	(115, 35.94232213267983)	(120, 35.924878618967874)	(125, 35.935528236823664)	(130, 36.09525791370078)	(135, 36.12802502396386)	(140, 35.88464977388613)	(145, 36.1429441614994)	(150, 36.07657761188541)
BartSimpson_R2	(1, 36.3027108433735)	(2, 36.36746987951807)	(3, 36.17620481927711)	(4, 36.56325301204819)	(5, 36.2605421686747)	(6, 36.274096385542165)	(7, 36.420180722891565)	(8, 36.41415662650602)	(9, 36.56174698795181)	(10, 36.42620481927711)	(15, 36.30301204819277)	(20, 36.35632530120482)	(25, 36.267469879518075)	(30, 36.225)	(35, 35.76174698795181)	(40, 36.08253012048193)	(45, 36.21114457831326)	(50, 36.080120481927715)	(55, 36.14608433734939)	(60, 36.06566265060241)	(65, 36.0117469879518)	(70, 36.171987951807225)	(75, 35.89668674698795)	(80, 35.5710843373494)	(85, 35.769277108433734)	(90, 36.064156626506026)	(95, 36.093674698795176)	(100, 35.593674698795176)	(105, 35.84789156626506)	(110, 36.02981927710843)	(115, 35.993975903614455)	(120, 35.91234939759036)	(125, 35.7117469879518)	(130, 35.55)	(135, 35.83072289156627)	(140, 35.64638554216867)	(145, 35.54518072289157)	(150, 35.58810240963855)
BartSimpson_R2_filtered	(1, 36.34487951807229)	(2, 36.28915662650602)	(3, 36.09789156626506)	(4, 36.56325301204819)	(5, 36.29668674698795)	(6, 36.274096385542165)	(7, 36.420180722891565)	(8, 36.450301204819276)	(9, 36.519578313253014)	(10, 36.43463855421687)	(15, 36.30301204819277)	(20, 36.36355421686747)	(25, 36.25301204819277)	(30, 36.24909638554217)	(35, 35.77620481927711)	(40, 36.04986358395148)	(45, 36.211755840241146)	(50, 36.064958553127354)	(55, 36.17347400150716)	(60, 36.094211821153806)	(65, 35.996066565809386)	(70, 36.14039334341906)	(75, 35.873524962178514)	(80, 35.60514372163389)	(85, 35.80242057488654)	(90, 36.04296520423601)	(95, 36.09751027175751)	(100, 35.5728191951997)	(105, 35.88297672053075)	(110, 36.01845641254782)	(115, 35.98149094727633)	(120, 35.91649254872232)	(125, 35.69992933465078)	(130, 35.57547750690997)	(135, 35.8349201527297)	(140, 35.69990508517373)	(145, 35.601775197118414)	(150, 35.63325780459317)
LisaSimpson_R1	(1, 36.74545454545454)	(2, 36.31212121212121)	(3, 36.21666666666667)	(4, 35.78939393939394)	(5, 36.60757575757576)	(6, 36.43636363636364)	(7, 36.59090909090909)	(8, 36.346969696969694)	(9, 36.27121212121212)	(10, 36.18515151515152)	(15, 36.39818181818182)	(20, 36.36333333333333)	(25, 36.355606060606064)	(30, 36.2109090909091)	(35, 36.17121212121212)	(40, 36.08060606060606)	(45, 36.3239393939394)	(50, 36.14727272727272)	(55, 36.16666666666667)	(60, 36.238787878787875)	(65, 36.22636363636364)	(70, 35.913333333333334)	(75, 35.84909090909091)	(80, 35.76818181818182)	(85, 36.156969696969696)	(90, 35.8209090909091)	(95, 35.85909090909091)	(100, 35.95)	(105, 35.81454545454545)	(110, 35.67575757575757)	(115, 35.585151515151516)	(120, 35.85181818181818)	(125, 35.87333333333333)	(130, 35.904242424242426)	(135, 35.769393939393936)	(140, 35.974242424242426)	(145, 35.74606060606061)	(150, 36.15227272727273)
LisaSimpson_R1_filtered	(1, 36.74545454545454)	(2, 36.31212121212121)	(3, 36.21666666666667)	(4, 35.78939393939394)	(5, 36.60757575757576)	(6, 36.43636363636364)	(7, 36.59090909090909)	(8, 36.346969696969694)	(9, 36.27121212121212)	(10, 36.18515151515152)	(15, 36.39818181818182)	(20, 36.36333333333333)	(25, 36.355606060606064)	(30, 36.2109090909091)	(35, 36.17121212121212)	(40, 36.080504054954396)	(45, 36.323426838514024)	(50, 36.146626231993935)	(55, 36.166034874905236)	(60, 36.23632432681747)	(65, 36.22342205323194)	(70, 35.90920152091255)	(75, 35.84428864929308)	(80, 35.77899543378996)	(85, 36.15850495804729)	(90, 35.8227441423834)	(95, 35.85846397911307)	(100, 35.936785785630136)	(105, 35.79224574416614)	(110, 35.647677616176296)	(115, 35.56867147506596)	(120, 35.85425861199217)	(125, 35.85811774819477)	(130, 35.85387793242415)	(135, 35.795777975490644)	(140, 36.02206349920018)	(145, 35.74964893534647)	(150, 36.31963821803137)
LisaSimpson_R2	(1, 36.29242424242424)	(2, 36.14242424242424)	(3, 36.1030303030303)	(4, 36.39090909090909)	(5, 36.09090909090909)	(6, 36.05)	(7, 36.35454545454545)	(8, 36.127272727272725)	(9, 36.53636363636364)	(10, 36.18212121212121)	(15, 36.38787878787879)	(20, 36.06878787878788)	(25, 36.29878787878788)	(30, 36.19121212121212)	(35, 36.18030303030303)	(40, 36.27333333333333)	(45, 36.09484848484848)	(50, 36.21545454545455)	(55, 36.00575757575758)	(60, 36.0339393939394)	(65, 36.055454545454545)	(70, 36.0439393939394)	(75, 35.99666666666667)	(80, 35.82727272727273)	(85, 35.97409090909091)	(90, 35.84333333333334)	(95, 35.74454545454545)	(100, 36.012727272727275)	(105, 35.876060606060605)	(110, 35.89969696969697)	(115, 35.85424242424243)	(120, 35.625151515151515)	(125, 35.86939393939394)	(130, 35.59939393939394)	(135, 35.780606060606054)	(140, 35.53181818181818)	(145, 35.7469696969697)	(150, 35.983333333333334)
LisaSimpson_R2_filtered	(1, 36.32878787878788)	(2, 36.124242424242425)	(3, 36.1030303030303)	(4, 36.43030303030303)	(5, 36.054545454545455)	(6, 36.128787878787875)	(7, 36.39393939393939)	(8, 36.04848484848485)	(9, 36.53636363636364)	(10, 36.21424242424243)	(15, 36.35757575757576)	(20, 36.057878787878785)	(25, 36.292121212121216)	(30, 36.17181818181818)	(35, 36.20818181818182)	(40, 36.283521032922096)	(45, 36.10022744503412)	(50, 36.213646702047)	(55, 36.02987111448067)	(60, 36.02719158712817)	(65, 36.03239543726236)	(70, 36.067072243346004)	(75, 35.980356384302425)	(80, 35.82557077625571)	(85, 35.99511823035851)	(90, 35.80038249541547)	(95, 35.717965397235176)	(100, 36.01719870332962)	(105, 35.83653819994338)	(110, 35.92087089780423)	(115, 35.89392685631056)	(120, 35.72797448872927)	(125, 35.884170698324205)	(130, 35.6063011380662)	(135, 35.8133221497803)	(140, 35.51616711994309)	(145, 35.72457780265511)	(150, 36.05159311867091)
MaggieSimpson_R1	(1, 36.43674698795181)	(2, 35.894578313253014)	(3, 36.04216867469879)	(4, 35.721385542168676)	(5, 36.248493975903614)	(6, 36.44879518072289)	(7, 36.34789156626506)	(8, 36.295180722891565)	(9, 36.23795180722892)	(10, 36.39578313253013)	(15, 36.41867469879518)	(20, 36.51024096385542)	(25, 36.17620481927711)	(30, 36.209939759036146)	(35, 36.30331325301205)	(40, 36.413554216867475)	(45, 36.27108433734939)	(50, 36.20542168674699)	(55, 36.38584337349398)	(60, 36.42319277108434)	(65, 36.04427710843373)	(70, 36.18343373493976)	(75, 36.093674698795176)	(80, 36.1527108433735)	(85, 36.084939759036146)	(90, 36.147891566265066)	(95, 36.08102409638555)	(100, 35.947891566265056)	(105, 36.177108433734944)	(110, 35.869277108433735)	(115, 35.834638554216866)	(120, 35.90180722891566)	(125, 36.07349397590362)	(130, 35.76415662650602)	(135, 35.96355421686748)	(140, 35.94879518072289)	(145, 35.89307228915662)	(150, 36.12198795180723)
MaggieSimpson_R1_filtered	(1, 36.43674698795181)	(2, 35.90512048192771)	(3, 36.03313253012048)	(4, 35.721385542168676)	(5, 36.26807228915663)	(6, 36.43975903614458)	(7, 36.338855421686745)	(8, 36.28463855421687)	(9, 36.25753012048193)	(10, 36.39397590361446)	(15, 36.4183734939759)	(20, 36.50813253012048)	(25, 36.18012048192771)	(30, 36.2078313253012)	(35, 36.309337349397595)	(40, 36.4115724389646)	(45, 36.27656367746797)	(50, 36.19276563677468)	(55, 36.38327053504144)	(60, 36.41883948756593)	(65, 36.04958553127355)	(70, 36.1846269781462)	(75, 36.08907309721176)	(80, 36.15388093443859)	(85, 36.081108087031865)	(90, 36.14519796052002)	(95, 36.06899166034874)	(100, 35.956302870736806)	(105, 36.17118909588938)	(110, 35.90742253617958)	(115, 35.8288526405538)	(120, 35.96659875002784)	(125, 36.04471701569521)	(130, 35.80788003089623)	(135, 36.04149644588175)	(140, 35.93458287765641)	(145, 35.97077495772399)	(150, 36.20559532996933)
