Sample	0	1	2	3	4	5	6	7	8	9
BartSimpson_R1	(35.0, 334.0)	(36.0, 994.0)								
BartSimpson_R1_filtered	(35.0, 331.0)	(36.0, 997.0)								
BartSimpson_R2	(28.0, 4.0)	(29.0, 0.0)	(30.0, 2.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 3.0)	(35.0, 564.0)	(36.0, 755.0)	
BartSimpson_R2_filtered	(28.0, 4.0)	(29.0, 0.0)	(30.0, 2.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 3.0)	(35.0, 541.0)	(36.0, 776.0)	(37.0, 2.0)
LisaSimpson_R1	(29.0, 8.0)	(30.0, 7.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 8.0)	(35.0, 420.0)	(36.0, 877.0)		
LisaSimpson_R1_filtered	(29.0, 8.0)	(30.0, 7.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 8.0)	(35.0, 422.0)	(36.0, 875.0)		
LisaSimpson_R2	(28.0, 4.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 11.0)	(35.0, 544.0)	(36.0, 761.0)	
LisaSimpson_R2_filtered	(28.0, 4.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 12.0)	(35.0, 545.0)	(36.0, 759.0)	
MaggieSimpson_R1	(28.0, 5.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 354.0)	(36.0, 969.0)	
MaggieSimpson_R1_filtered	(28.0, 3.0)	(29.0, 2.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 343.0)	(36.0, 979.0)	(37.0, 1.0)
MaggieSimpson_R2	(28.0, 1.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 9.0)	(35.0, 603.0)	(36.0, 707.0)	(37.0, 8.0)
MaggieSimpson_R2_filtered	(28.0, 1.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 7.0)	(35.0, 596.0)	(36.0, 716.0)	(37.0, 8.0)
MargeSimpson_R1	(28.0, 1.0)	(29.0, 12.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 387.0)	(36.0, 928.0)	
MargeSimpson_R1_filtered	(28.0, 1.0)	(29.0, 7.0)	(30.0, 5.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 381.0)	(36.0, 934.0)	
MargeSimpson_R2	(29.0, 7.0)	(30.0, 2.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 14.0)	(35.0, 595.0)	(36.0, 734.0)		
MargeSimpson_R2_filtered	(29.0, 7.0)	(30.0, 0.0)	(31.0, 2.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 14.0)	(35.0, 575.0)	(36.0, 722.0)	(37.0, 8.0)	
PattyBouvier_R1	(28.0, 1.0)	(29.0, 3.0)	(30.0, 1.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 335.0)	(36.0, 980.0)	
PattyBouvier_R1_filtered	(29.0, 4.0)	(30.0, 1.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 0.0)	(35.0, 330.0)	(36.0, 985.0)		
PattyBouvier_R2	(29.0, 5.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 5.0)	(35.0, 487.0)	(36.0, 847.0)		
PattyBouvier_R2_filtered	(29.0, 5.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 0.0)	(34.0, 5.0)	(35.0, 476.0)	(36.0, 834.0)		
SelmaBouvier_R1	(35.0, 333.0)	(36.0, 995.0)								
SelmaBouvier_R1_filtered	(35.0, 327.0)	(36.0, 1001.0)								
SelmaBouvier_R2	(35.0, 621.0)	(36.0, 731.0)								
SelmaBouvier_R2_filtered	(35.0, 601.0)	(36.0, 727.0)								
