Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BartSimpson_R1	(1.0, 98.79518072289156)	(2.0, 1.2048192771084338)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BartSimpson_R1_filtered	(1.0, 98.79518072289156)	(2.0, 1.2048192771084338)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BartSimpson_R2	(1.0, 98.79518072289156)	(2.0, 1.2048192771084338)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
BartSimpson_R2_filtered	(1.0, 98.79518072289156)	(2.0, 1.2048192771084338)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
LisaSimpson_R1	(1.0, 99.39393939393939)	(2.0, 0.6060606060606061)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
LisaSimpson_R1_filtered	(1.0, 99.39393939393939)	(2.0, 0.6060606060606061)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
LisaSimpson_R2	(1.0, 99.24242424242425)	(2.0, 0.7575757575757576)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
LisaSimpson_R2_filtered	(1.0, 99.24242424242425)	(2.0, 0.7575757575757576)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
MaggieSimpson_R1	(1.0, 99.54819277108435)	(2.0, 0.4518072289156626)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
MaggieSimpson_R1_filtered	(1.0, 99.54819277108435)	(2.0, 0.4518072289156626)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
